"id_talhao","regiao_produtora","cultivar","manejo","irrigacao","altitude_m","declividade_pct","idade_lavoura_anos","densidade_plantio","adubacao_n_kg_ha","precipitacao_safra_mm","umidade_relativa_pct","ph_solo","materia_organica_pct","n_armadilhas","dias_exposicao","n_brocas_capturadas","severidade_ferrugem","padrao_exportacao"
"TAL061","Matas de Minas","Catuai","Integrado","Sim",852,21.1,8.5,4753,345,1581,75,4.92,3.59,7,20,11,0.1251,1
"TAL062","Mogiana","Icatu","Integrado","Nao",865,13,7,3398,433,1756,64.2,5.29,1.89,5,15,2,0.0024,1
"TAL063","Sul de Minas","Mundo Novo","Integrado","Sim",1149,21.7,7.6,3528,285,1382,75.7,5.69,3.44,5,15,2,0.1501,1
"TAL064","Matas de Minas","Mundo Novo","Convencional","Nao",886,29.2,5.8,3230,309,1221,71.2,5.39,1.98,5,15,4,0.0767,0
"TAL065","Cerrado Mineiro","Catuai","Convencional","Nao",1260,13.4,8,4031,384,1176,58.5,5.99,2.49,6,15,0,0.1591,0
"TAL066","Cerrado Mineiro","Catuai","Convencional","Sim",948,18.7,8.3,4481,217,1346,79.9,5.37,1.86,10,15,25,0.1021,1
"TAL067","Matas de Minas","Catuai","Organico","Nao",785,16.2,8.4,3727,316,1435,83.4,5.35,3.77,5,15,9,0.2912,0
"TAL068","Cerrado Mineiro","Catuai","Integrado","Sim",1083,24.3,10.8,4312,335,1591,79.7,5.09,2.28,5,20,5,0.2119,1
"TAL069","Matas de Minas","Catuai","Convencional","Nao",872,20.1,12.9,4703,330,1274,67.8,5.22,3.69,10,20,6,0.2407,0
"TAL070","Sul de Minas","Catuai","Convencional","Nao",1038,28.3,5.1,2562,425,1615,75.6,6.32,3.14,11,20,1,0.0883,1
"TAL071","Mogiana","Bourbon","Convencional","Nao",836,13.4,4.9,2403,201,1702,78.4,4.37,2.87,11,30,14,0.2933,1
"TAL072","Mogiana","Icatu","Integrado","Sim",956,12.7,8,4185,416,1244,76.7,6.03,2.59,7,20,6,0.118,0
"TAL073","Matas de Minas","Mundo Novo","Convencional","Nao",1110,18.7,13.2,4611,221,983,57.2,5.39,2.99,12,30,8,0.2101,0
"TAL074","Mogiana","Catuai","Convencional","Nao",921,16,8.9,3555,303,1486,79,5.22,2.82,9,20,6,0.1304,0
"TAL075","Cerrado Mineiro","Bourbon","Convencional","Nao",994,14.8,8.5,2837,374,1159,76.3,5.51,2.91,10,15,7,0.1754,1
"TAL076","Matas de Minas","Bourbon","Integrado","Nao",766,22.7,10.8,4980,210,1584,66.5,6.39,2.55,8,20,5,0.2846,0
"TAL077","Cerrado Mineiro","Mundo Novo","Integrado","Nao",1261,22.6,16,4381,464,1182,77.8,5.75,1.61,12,30,21,0.2907,0
"TAL078","Mogiana","Icatu","Integrado","Sim",924,1,6.4,3592,282,1383,72.1,5.11,2.07,12,15,5,0.0484,0
"TAL079","Mogiana","Mundo Novo","Convencional","Sim",985,17.3,5.9,4253,443,1759,76.1,5.61,3.76,5,30,27,0.1871,0
"TAL080","Cerrado Mineiro","Mundo Novo","Convencional","Sim",864,15.5,4.8,3477,389,1618,82.9,5.81,2.88,4,30,16,0.3933,0
"TAL081","Mogiana","Catuai","Organico","Nao",824,15.1,7.4,2517,165,1509,71.8,5.37,3.92,12,20,9,0.023,1
"TAL082","Matas de Minas","Mundo Novo","Convencional","Sim",689,28.8,12.5,2648,370,1630,81.4,5.65,3.01,8,30,32,0.1779,0
"TAL083","Sul de Minas","Bourbon","Organico","Nao",938,2.5,7.2,4360,257,1624,79.9,6.2,4.66,6,15,7,0.2977,1
"TAL084","Mogiana","Icatu","Convencional","Nao",853,9.6,23.8,2880,417,1574,69.4,4.55,1.42,10,15,15,0.0365,0
"TAL085","Sul de Minas","Catuai","Integrado","Sim",1044,22.5,31.1,4714,282,1448,78.2,5.68,1.78,8,15,10,0.1742,0
"TAL086","Sul de Minas","Mundo Novo","Organico","Nao",909,16.7,4.9,3233,40,1536,74.3,5.25,3.42,11,20,11,0.0542,1
"TAL087","Mogiana","Catuai","Convencional","Nao",950,49,10.7,3752,431,1414,78.7,5.04,3.7,8,30,15,0.0376,0
"TAL088","Matas de Minas","Mundo Novo","Convencional","Nao",825,34.8,8.8,4455,472,1604,72.2,5.38,3.38,4,20,4,0.3469,0
"TAL089","Mogiana","Bourbon","Convencional","Sim",830,13.6,15.5,4604,265,1581,77.6,5.31,2.46,7,15,19,0.2442,0
"TAL090","Matas de Minas","Catuai","Convencional","Nao",803,25.9,16.1,3778,381,1468,63.6,5.27,2.78,10,20,2,0.1011,0
"TAL091","Mogiana","Icatu","Convencional","Nao",813,16.3,10.1,3491,302,1598,70.1,5.03,1.04,11,20,4,0.0851,1
"TAL092","Sul de Minas","Icatu","Organico","Sim",862,22,8.2,4186,243,990,65.4,4.4,5.04,9,20,5,0.0105,0
"TAL093","Matas de Minas","Catuai","Integrado","Sim",762,40.2,17.3,3333,268,1335,65.6,5.46,2.6,9,20,5,0.0244,0
"TAL094","Mogiana","Icatu","Integrado","Nao",936,19.6,11.7,5811,284,1468,77.7,5.45,3.14,8,30,14,0.0755,0
"TAL095","Mogiana","Bourbon","Integrado","Sim",737,23.6,3.2,4731,281,1588,71.2,5.55,2.77,8,20,20,0.1846,0
"TAL096","Sul de Minas","Catuai","Integrado","Sim",1049,15.5,19.2,4677,243,1704,74.9,5.8,1.65,6,15,11,0.0736,1
"TAL097","Matas de Minas","Bourbon","Integrado","Sim",805,24.8,3.3,4210,201,1660,82.1,5.42,2.62,10,15,4,0.4236,0
"TAL098","Sul de Minas","Mundo Novo","Integrado","Nao",1229,25.7,11.3,3598,266,1222,65.5,5.5,3.14,4,30,5,0.0731,1
"TAL099","Sul de Minas","Catuai","Convencional","Sim",988,20,1.4,3079,302,1943,83.1,5.07,1.43,11,30,23,0.12,0
"TAL100","Cerrado Mineiro","Catuai","Organico","Nao",949,3.7,10.2,3476,208,1181,75.8,6.07,4.14,8,15,8,0.1895,0
"TAL101","Cerrado Mineiro","Catuai","Convencional","Sim",963,18,1,3568,271,1828,73.3,5.54,2.96,6,30,6,0.1291,1
"TAL102","Matas de Minas","Icatu","Convencional","Nao",682,18.7,13.1,4606,283,1478,63.2,4.93,2.25,4,20,5,0.0855,1
"TAL103","Sul de Minas","Bourbon","Convencional","Nao",1241,21.5,4.6,3193,339,1487,75.1,5.05,1.72,6,20,2,0.1629,1
"TAL104","Matas de Minas","Bourbon","Convencional","Nao",921,21.4,14.1,2972,485,1331,66.3,5.06,3.12,9,15,2,0.3121,0
"TAL105","Matas de Minas","Mundo Novo","Convencional","Nao",873,26.1,2.7,2905,289,1024,71.5,4.85,2.95,12,20,16,0.0681,0
"TAL106","Mogiana","Mundo Novo","Integrado","Sim",898,25.7,7.7,4227,420,1549,76.6,5.17,3.62,11,30,4,0.4182,1
"TAL107","Cerrado Mineiro","Catuai","Integrado","Nao",900,8.7,4.6,3630,250,1762,75.7,4.87,1.72,4,15,4,0.2262,1
"TAL108","Mogiana","Catuai","Organico","Sim",814,45.1,5,1800,218,1441,75.2,5.09,4.25,6,20,9,0.0996,0
"TAL109","Cerrado Mineiro","Catuai","Integrado","Nao",1145,27.6,11.1,3136,282,1772,85.5,6.4,1.75,6,30,6,0.1614,0
"TAL110","Cerrado Mineiro","Mundo Novo","Convencional","Nao",807,13.5,12.8,3986,337,1376,67.9,4.73,1.87,9,15,5,0.1525,0
"TAL111","Cerrado Mineiro","Icatu","Convencional","Nao",993,29.5,20.6,3437,396,1331,71.4,5.68,2.88,7,15,7,0.0101,0
"TAL112","Sul de Minas","Mundo Novo","Convencional","Nao",1193,25.1,8.8,3031,395,1532,74.4,5.42,2.51,7,15,6,0.0701,0
"TAL113","Sul de Minas","Mundo Novo","Convencional","Nao",1128,35.9,3.6,3175,177,1275,70.9,5.53,2.15,12,20,0,0.1158,1
"TAL114","Mogiana","Icatu","Organico","Sim",887,14,12.9,4619,270,1198,58.9,6.57,4.05,8,15,3,0.0212,0
"TAL115","Matas de Minas","Mundo Novo","Integrado","Sim",634,32.4,9.5,3836,386,1143,62.5,5.39,1.73,6,20,4,0.1839,0
"TAL116","Sul de Minas","Mundo Novo","Convencional","Nao",1083,18.4,19.9,4102,366,1082,72.1,5.09,2.56,8,15,4,0.1057,0
"TAL117","Cerrado Mineiro","Bourbon","Convencional","Sim",881,24,6.2,3530,303,1523,74.9,5.06,3.71,6,15,0,0.3237,0
"TAL118","Sul de Minas","Bourbon","Convencional","Sim",837,18.2,8.8,3148,271,1742,76.1,4.56,1.22,11,30,15,0.1436,1
"TAL119","Mogiana","Catuai","Integrado","Sim",923,25.2,10.8,2718,393,1347,73.1,5.44,1.54,8,15,7,0.3704,0
"TAL120","Sul de Minas","Mundo Novo","Convencional","Nao",1136,3.4,6.6,2785,280,1274,55.1,4.96,3.18,11,15,1,0.001,0
"TAL121","Sul de Minas","Catuai","Integrado","Sim",1190,27,10.4,2442,318,1199,86.5,5.64,3.16,9,15,3,0.0941,1
"TAL122","Sul de Minas","Bourbon","Convencional","Nao",1191,20,6.1,3500,525,1416,67.3,4.82,3.37,8,30,10,0.0724,1
"TAL123","Sul de Minas","Icatu","Convencional","Sim",1028,33.2,9.5,3488,411,1601,69.4,5.86,3.39,4,30,7,0.0377,1
"TAL124","Cerrado Mineiro","Mundo Novo","Convencional","Nao",954,9.8,13.8,2495,301,1366,71.2,5.21,3.39,6,30,7,0.0676,0
"TAL125","Sul de Minas","Catuai","Integrado","Sim",1047,19.5,13.8,3529,195,1549,70.1,5.74,1.7,8,30,12,0.0718,0
"TAL126","Mogiana","Bourbon","Convencional","Sim",928,28.8,9.6,1885,397,1564,80,5.18,2.27,10,15,18,0.3985,0
"TAL127","Mogiana","Icatu","Convencional","Nao",1058,24.7,4.9,3893,194,1489,92.2,5.08,2.44,10,30,26,0.1723,0
"TAL128","Sul de Minas","Icatu","Integrado","Nao",1183,16.2,6.2,3035,231,1373,74.4,4.95,3.35,4,15,1,0.0054,0
"TAL129","Cerrado Mineiro","Catuai","Integrado","Nao",1226,27.5,4.8,3626,323,1411,76.9,5.74,3.13,11,15,2,0.2024,1
"TAL130","Sul de Minas","Mundo Novo","Convencional","Nao",1153,16.7,14.1,3472,389,1513,78.1,6.01,2.35,5,20,5,0.067,0
"TAL131","Sul de Minas","Catuai","Integrado","Nao",921,6.8,5.8,4260,332,1611,80.9,6.46,2.5,4,15,0,0.2477,0
"TAL132","Cerrado Mineiro","Mundo Novo","Integrado","Nao",1068,24.4,6.8,2868,140,1138,70.5,5.16,2.87,9,20,3,0.1892,1
"TAL133","Mogiana","Icatu","Organico","Sim",948,15.5,1.5,4333,253,1291,73.2,5.37,3.86,10,30,17,0.1001,0
"TAL134","Matas de Minas","Bourbon","Organico","Sim",743,24.3,17.1,2959,225,1572,64.2,6.05,3.62,5,30,11,0.0957,0
"TAL135","Cerrado Mineiro","Mundo Novo","Integrado","Nao",621,18.9,18.8,3283,418,1129,70,4.92,3.04,10,20,10,0.1047,0
"TAL136","Cerrado Mineiro","Catuai","Convencional","Nao",1135,11.5,11,4084,265,1288,78.2,5.17,2.18,10,30,14,0.1232,1
"TAL137","Matas de Minas","Icatu","Convencional","Sim",690,18.5,9.3,3907,395,1479,73.8,5.69,0.8,11,15,10,0.0854,1
"TAL138","Cerrado Mineiro","Catuai","Integrado","Sim",898,21.1,12.3,4315,419,1342,74,5.03,4.44,12,20,18,0.3634,0
"TAL139","Mogiana","Mundo Novo","Organico","Nao",778,9.2,6.7,2892,141,1570,79.2,5.62,3.72,8,20,18,0.1835,1
"TAL140","Sul de Minas","Catuai","Convencional","Sim",856,15,13.8,3327,379,1190,75.4,5.42,3.15,12,30,14,0.1122,0
"TAL141","Cerrado Mineiro","Mundo Novo","Convencional","Nao",897,22.9,12.4,3425,415,1564,81,5.07,2.87,11,15,12,0.1855,0
"TAL142","Sul de Minas","Icatu","Convencional","Nao",1114,17,5.7,5349,384,1255,74.1,4.28,3.15,4,15,2,0.0938,0
"TAL143","Sul de Minas","Catuai","Organico","Nao",1318,18.7,19.4,3459,133,1294,73.1,5.83,3.48,8,15,6,0.0038,1
"TAL144","Sul de Minas","Catuai","Convencional","Nao",1044,22.8,9.6,2863,318,1554,72.7,5.65,1.81,7,30,6,0.016,0
"TAL145","Cerrado Mineiro","Catuai","Convencional","Nao",815,5.1,6.6,4228,261,1321,84.2,5.73,2.2,5,20,13,0.2104,1
"TAL146","Matas de Minas","Mundo Novo","Convencional","Sim",655,38.6,4.9,5500,380,1684,75.4,5.61,2.21,4,30,23,0.4289,0
"TAL147","Sul de Minas","Icatu","Convencional","Nao",818,35.3,16.8,2448,190,1233,74.5,5.75,2.56,10,15,4,0.001,0
"TAL148","Cerrado Mineiro","Mundo Novo","Organico","Nao",871,13.4,21.1,3405,110,1953,88.6,5.54,4.72,9,30,38,0.1773,0
"TAL149","Mogiana","Mundo Novo","Convencional","Nao",762,23.6,11.6,3753,295,1641,70.3,5.66,3.2,8,20,10,0.1497,1
"TAL150","Sul de Minas","Catuai","Integrado","Nao",1254,13,10,4172,387,1241,62.5,5.51,4.05,4,15,2,0.0529,1
"TAL151","Cerrado Mineiro","Mundo Novo","Convencional","Nao",1018,20.3,4.9,3489,388,1673,80.3,5.78,2.75,6,15,3,0.0266,1
"TAL152","Cerrado Mineiro","Icatu","Convencional","Nao",1076,10.4,10.5,4296,231,1625,81.8,5.43,2.67,5,20,12,0.1443,1
"TAL153","Cerrado Mineiro","Icatu","Integrado","Sim",940,18.6,14.7,3639,390,2018,70.8,5.02,3.64,10,15,7,0.1408,0
"TAL154","Mogiana","Catuai","Organico","Nao",837,14.3,3.2,3214,327,1848,79.5,5.88,3.35,12,30,20,0.0878,0
"TAL155","Matas de Minas","Bourbon","Convencional","Nao",783,22.1,6.3,4251,322,1057,65.2,5.18,3.25,10,15,9,0.0716,1
"TAL156","Matas de Minas","Catuai","Convencional","Sim",815,19.5,2.6,3601,268,1170,64.3,5.94,2.9,8,15,4,0.1276,1
"TAL157","Matas de Minas","Catuai","Convencional","Nao",829,19.5,5.9,3873,435,1320,66.4,5.92,2.83,7,15,1,0.0774,1
"TAL158","Sul de Minas","Icatu","Convencional","Nao",1182,12.8,19.8,3662,442,1731,83.5,5.7,2.82,8,15,3,0.0471,0
"TAL159","Matas de Minas","Icatu","Integrado","Sim",896,12.5,7.5,4038,284,1676,81.8,5.39,3.12,7,20,24,0.1536,1
"TAL160","Matas de Minas","Catuai","Integrado","Sim",878,10,8.2,4158,295,2208,83.7,6.23,3.06,7,30,18,0.2315,0
"TAL161","Sul de Minas","Mundo Novo","Integrado","Sim",873,12.2,9.4,2457,372,1182,67.6,5.48,2.61,4,30,3,0.2252,0
"TAL162","Mogiana","Mundo Novo","Convencional","Nao",1022,16.3,9.8,3531,166,1312,68.9,6.15,2.79,11,20,11,0.0457,0
"TAL163","Matas de Minas","Mundo Novo","Organico","Nao",648,30.7,14.4,1823,53,1707,75.4,5.4,3.92,8,30,6,0.0381,0
"TAL164","Sul de Minas","Icatu","Integrado","Sim",999,17.4,14.4,3735,452,1396,72.1,4.54,2.3,8,20,4,0.0164,1
"TAL165","Sul de Minas","Bourbon","Convencional","Nao",1095,6.7,6.5,2524,310,1293,73.6,5.36,2,9,15,0,0.1222,0
"TAL166","Cerrado Mineiro","Mundo Novo","Convencional","Sim",906,15.9,12.6,4701,367,1022,68.7,5.09,3.21,4,30,5,0.3773,1
"TAL167","Sul de Minas","Mundo Novo","Convencional","Nao",896,19.1,8.4,3385,426,1434,73.4,4.94,2.29,7,15,9,0.1111,0
"TAL168","Mogiana","Mundo Novo","Convencional","Nao",988,19.8,14.6,4509,290,1096,70.1,5.82,2.97,6,20,4,0.0734,1
"TAL169","Matas de Minas","Bourbon","Integrado","Nao",916,20.4,4.6,4255,346,1322,72.6,5.27,1.86,5,20,1,0.5282,0
"TAL170","Matas de Minas","Mundo Novo","Convencional","Nao",661,20.7,12.9,3899,456,1098,78.3,5.87,2.3,6,15,5,0.1542,0
"TAL171","Matas de Minas","Icatu","Integrado","Nao",613,31.9,5.2,4004,367,1289,67.7,5.15,3.16,12,15,6,0.0262,0
"TAL172","Mogiana","Mundo Novo","Integrado","Nao",836,14.4,9.8,3126,356,1560,78.8,5.59,1.13,9,30,4,0.3278,0
"TAL173","Mogiana","Catuai","Integrado","Sim",708,35.6,16,4049,266,974,65.2,5.5,2.7,4,20,6,0.0348,1
"TAL174","Cerrado Mineiro","Mundo Novo","Integrado","Nao",948,23.2,4.8,3536,214,1683,82.3,6.03,1.96,8,15,4,0.3571,0
"TAL175","Cerrado Mineiro","Mundo Novo","Convencional","Sim",1013,28.7,5.4,3671,253,1373,66.3,5.92,4.01,5,15,4,0.0557,0
"TAL176","Sul de Minas","Icatu","Convencional","Nao",958,29.7,13.8,3101,145,1225,69.6,5.24,2.76,9,30,15,0.044,0
"TAL177","Sul de Minas","Mundo Novo","Integrado","Nao",999,8.6,6.5,4241,488,1891,81.6,5.67,3.25,7,20,8,0.2619,0
"TAL178","Mogiana","Mundo Novo","Integrado","Sim",1051,4.9,13.1,4045,274,1368,81.5,5.42,2.04,8,15,10,0.1822,1
"TAL179","Cerrado Mineiro","Bourbon","Integrado","Nao",1077,32.1,11.3,2946,449,1129,80.2,5.74,3.11,6,30,2,0.4188,0
"TAL180","Mogiana","Catuai","Integrado","Sim",673,6.5,6.6,3222,341,982,60.2,5.55,2.96,12,20,2,0.1814,1
"TAL181","Cerrado Mineiro","Catuai","Convencional","Sim",1042,26.2,9,1800,264,1453,76.1,5.27,3.43,5,15,5,0.0269,1
"TAL182","Mogiana","Mundo Novo","Integrado","Nao",797,21,10.1,2817,429,1918,74.1,5.13,2.8,11,30,10,0.1643,1
"TAL183","Mogiana","Catuai","Integrado","Nao",933,30.5,4.4,3210,433,1677,79.4,4.69,3.58,5,20,2,0.0965,0
"TAL184","Mogiana","Mundo Novo","Organico","Sim",979,13.3,10.6,3309,351,1172,75.2,4.54,3.53,5,30,14,0.3528,0
"TAL185","Sul de Minas","Catuai","Convencional","Nao",893,23.2,16.4,3236,432,1240,76.3,5.7,2.93,7,30,9,0.1583,0
"TAL186","Sul de Minas","Catuai","Organico","Nao",973,9.4,7.6,4672,364,1671,69,6.1,3.42,4,15,10,0.1066,1
"TAL187","Cerrado Mineiro","Catuai","Convencional","Nao",1281,23.6,7.3,5466,246,1468,73.7,5.91,2.79,12,30,23,0.1287,1
"TAL188","Sul de Minas","Mundo Novo","Convencional","Nao",1175,13.9,10.2,3001,377,1431,77.6,4.96,2.91,12,20,14,0.1493,1
"TAL189","Sul de Minas","Icatu","Integrado","Nao",1066,14.5,3.3,3990,138,1723,77.4,5.78,2.78,9,30,8,0.0567,1
